"id","price"
1,355879.334017877
2,861420.21286398
3,270084.204203554
4,530661.521098592
5,457717.838813822
6,553247.866290941
7,652239.816406978
8,340578.27769375
9,197467.896927183
10,731885.876301636
11,343324.834163851
12,247753.115474002
13,255117.585891226
14,314314.570911291
15,671682.825357434
16,495119.495996564
17,772675.631331513
18,454805.722799464
19,714261.748012264
20,445220.743232577
21,717520.9070252
22,270587.801208979
23,264991.997423947
24,329637.50554208
25,797484.339790245
26,274198.661323143
27,1168324.31159721
28,409000.967130669
29,228172.865935508
30,329378.889387194
31,210169.351789514
32,872452.983814077
33,686039.007194423
34,192342.141140358
35,262747.678831072
36,500730.396626899
37,249207.591635855
38,1127022.34641339
39,1781275.29166363
40,253809.352816095
41,651327.343550153
42,523277.615502461
43,271930.056341385
44,338326.13661834
45,249599.794680971
46,1431923.23799526
47,869204.445341181
48,582001.343161475
49,395912.955574687
50,744495.802412541
51,344243.368212784
52,320371.801636328
53,1207649.90028554
54,1207649.90028554
55,579309.45945031
56,437620.708115357
57,283136.300297338
58,275503.124594104
59,774237.830245665
60,547825.794179392
61,994093.725466615
62,640395.884901913
63,324429.905960581
64,516064.252795395
65,541520.165789675
66,290904.4745949
67,126376.834820799
68,818981.311128415
69,600062.055334756
70,567837.648321087
71,829658.758121812
72,862482.843351682
73,327688.650155104
74,412911.338897929
75,429557.663380286
76,833587.896248286
77,415603.295727727
78,658122.055535082
79,318405.994046826
80,1414270.07401216
81,645019.250279127
82,505908.676039531
83,257103.977529244
84,545875.108442707
85,593868.715947618
86,675171.745170121
87,496359.773101775
88,395809.158375025
89,1380886.18314002
90,1080155.37803553
91,807461.426154579
92,399336.964997192
93,183700.722499079
94,216243.16240032
95,265095.160114175
96,405083.412900837
97,286314.27098697
98,408940.264654021
99,276816.716654948
100,311557.014042744
101,1129963.89914448
102,529388.533043593
103,366756.146254368
104,677078.826889443
105,504874.918507777
106,860050.780216304
107,232731.88860664
108,329996.424773804
109,1886295.29905914
110,257070.874144707
111,1850113.4828308
112,194810.098104792
113,293408.877811147
114,376635.017008133
115,2804677.2779972
116,354762.633326017
117,1569197.44324948
118,175254.862550014
119,410928.763831989
120,492012.319581406
121,242233.410536108
122,270006.956119398
123,300403.824824372
124,771901.711731245
125,275309.117648369
126,395565.147768767
127,651358.81276287
128,981763.407141616
129,409418.925326324
130,666616.219064184
131,489737.336550894
132,454902.465784659
133,356611.854166445
134,321621.256956532
135,635873.221308869
136,425220.807748925
137,1083254.57752129
138,201887.869409989
